"DOY_int";"";"";"";"i";"j";"k"
"116.052083333333";"116";"228.000015999943";"544";"GUE_97_14.csv";"1997";"PcAb3"
"116.083333333333";"116";"245.000015999943";"479.998464005226";"GUE_97_14.csv";"1997";"PcAb3"
"116.09375";"116";"250";"384.000245759165";"GUE_97_14.csv";"1997";"PcAb3"
"116.145833333333";"116";"270.000012799955";"383.998771204177";"GUE_97_14.csv";"1997";"PcAb3"
"116.15625";"116";"274";"336.000307198989";"GUE_97_14.csv";"1997";"PcAb3"
"116.177083333333";"116";"281.000006399977";"320.000102399637";"GUE_97_14.csv";"1997";"PcAb3"
"116.208333333333";"116";"291.000009599966";"287.999078403132";"GUE_97_14.csv";"1997";"PcAb3"
"116.21875";"116";"294";"287.999078403132";"GUE_97_14.csv";"1997";"PcAb3"
"116.229166666667";"116";"296.99999040003";"256";"GUE_97_14.csv";"1997";"PcAb3"
"116.260416666667";"116";"304.99999040003";"256";"GUE_97_14.csv";"1997";"PcAb3"
"116.291666666667";"116";"312.99999040003";"192.001535994867";"GUE_97_14.csv";"1997";"PcAb3"
"116.302083333333";"116";"315.000006399977";"191.999385602088";"GUE_97_14.csv";"1997";"PcAb3"
"116.3125";"116";"317";"191.999385602088";"GUE_97_14.csv";"1997";"PcAb3"
"116.322916666667";"116";"318.99999360002";"144.000153599505";"GUE_97_14.csv";"1997";"PcAb3"
"116.364583333333";"116";"325";"86.5054945054941";"GUE_97_14.csv";"1997";"PcAb3"
"117.3125";"117";"407";"73.4117647058843";"GUE_97_14.csv";"1997";"PcAb3"
"117.489583333333";"117";"420";"65.560975609756";"GUE_97_14.csv";"1997";"PcAb3"
"120.90625";"120";"644";"50.2229845626072";"GUE_97_14.csv";"1997";"PcAb3"
"139.125";"139";"1559";"43.6088328075712";"GUE_97_14.csv";"1997";"PcAb3"
"142.427083333333";"142";"1703";"36.9971898835809";"GUE_97_14.csv";"1997";"PcAb3"
"168.375";"168";"2663";"30.8740740740741";"GUE_97_14.csv";"1997";"PcAb3"
"173.4375";"173";"2819.3";"22.8801199378247";"GUE_97_14.csv";"1997";"PcAb3"
"187.322916666667";"187";"3136.99999872";"18.9331330750411";"GUE_97_14.csv";"1997";"PcAb3"
"201.1875";"201";"3399.5";"14.4000153599685";"GUE_97_14.csv";"1997";"PcAb3"
"201.208333333333";"201";"3399.80000032";"13.3543859649123";"GUE_97_14.csv";"1997";"PcAb3"
"215.458333333333";"215";"3590.10000032";"9.5999692800804";"GUE_97_14.csv";"1997";"PcAb3"
"215.46875";"215";"3590.2";"5.78560000000009";"GUE_97_14.csv";"1997";"PcAb3"
"219.375";"219";"3612.8";"4.7999539201599";"GUE_97_14.csv";"1997";"PcAb3"
"219.395833333333";"219";"3612.89999904";"3.43827255851067";"GUE_97_14.csv";"1997";"PcAb3"
"247.375";"247";"3709.1";"1.76055342062349";"GUE_97_14.csv";"1997";"PcAb3"
"250.385416666667";"250";"3714.39999936";"4.36557456851403e-11";"GUE_97_14.csv";"1997";"PcAb3"
"250.395833333333";"250";"3714.39999936";"0";"GUE_97_14.csv";"1997";"PcAb3"
"294.583333333333";"294";"3714.39999936";"0";"GUE_97_14.csv";"1997";"PcAb3"
"294.59375";"294";"3714.39999936";"0";"GUE_97_14.csv";"1997";"PcAb3"
"297.385416666667";"297";"3714.39999936";"0";"GUE_97_14.csv";"1997";"PcAb3"
"303.510416666667";"303";"3714.39999936";"0";"GUE_97_14.csv";"1997";"PcAb3"
"303.520833333333";"303";"3714.39999936";"0";"GUE_97_14.csv";"1997";"PcAb3"
"303.53125";"303";"3714.39999936";"0";"GUE_97_14.csv";"1997";"PcAb3"
"304";"304";"3714.39999936";"0";"GUE_97_14.csv";"1997";"PcAb3"
"91";"91";"79.9999740800915";"0";"GUE_97_14.csv";"1997";"FaSy1"
"123.770833333333";"123";"79.9999740800915";"0";"GUE_97_14.csv";"1997";"FaSy1"
"123.770833333333";"123";"79.9999776000794";"167.999923200253";"GUE_97_14.csv";"1997";"FaSy1"
"123.8125";"123";"86.9999744000907";"144.000153599488";"GUE_97_14.csv";"1997";"FaSy1"
"123.833333333333";"123";"89.9999776000794";"143.999539201535";"GUE_97_14.csv";"1997";"FaSy1"
"123.854166666667";"123";"92.9999680001107";"96.0003071989988";"GUE_97_14.csv";"1997";"FaSy1"
